stock_id,symbol,company_name
1,INE144J01027,20 Microns Limited
2,INE253B01015,21st Century Management Services Limited
3,INE466L01038,360 ONE WAM LIMITED
4,INE748C01038,3i Infotech Limited
5,INE470A01017,3M India Limited
6,INE105C01023,3P Land Holdings Limited
7,INE618L01018,5Paisa Capital Limited
8,INE111B01023,63 moons technologies limited
9,INE619I01012,A2Z Infra Engineering Limited
10,INE0D0U01013,AAA Technologies Limited
11,INE883F01010,Aadhar Housing Finance Limited
12,INE087Z01024,Aakash Exploration Services Limited
13,INE198H01019,Aarey Drugs & Pharmaceuticals Limited
14,INE721Z01010,Aaron Industries Limited
15,INE01C001026,Aartech Solonics Limited
16,INE767A01016,Aarti Drugs Limited
17,INE769A01020,Aarti Industries Limited
18,INE0LRU01027,Aarti Pharmalabs Limited
19,INE09EO01013,Aarti Surfactants Limited
20,INE273D01019,Aarvee Denims & Exports Limited
21,INE754X01016,Aarvi Encon Limited
22,INE216P01012,Aavas Financiers Limited
23,INE421A01028,Aban Offshore Limited
24,INE117A01022,ABB India Limited
25,INE358A01014,Abbott India Limited
26,INE674K01013,Aditya Birla Capital Limited
27,INE552Z01027,Allied Blenders and Distillers Limited
28,INE647O01011,Aditya Birla Fashion and Retail Limited
29,INE251C01025,ABM International Limited
30,INE404A01024,Aditya Birla Sun Life AMC Limited
31,INE012A01025,ACC Limited
32,INE793A01012,Accelya Solutions India Limited
33,INE648Z01023,Accuracy Shipping Limited
34,INE731H01025,Action Construction Equipment Limited
35,INE543V01017,Ace Integrated Solutions Limited
36,INE128X01021,Archean Chemical Industries Limited
37,INE666E01020,Andhra Cements Limited
38,INE152B01027,Allcargo Gati Limited
39,INE931S01010,Adani Energy Solutions Limited
40,INE423A01024,Adani Enterprises Limited
41,INE364U01010,Adani Green Energy Limited
42,INE742F01042,Adani Ports and Special Economic Zone Limited
43,INE814H01011,Adani Power Limited
44,INE982B01027,ADF Foods Limited
45,INE0CHO01012,Archidply Decor Limited
46,INE045A01017,Ador Welding Limited
47,INE737B01033,Adroit Infotech Limited
48,INE102I01027,Allied Digital Services Limited
49,INE199C01026,Advani Hotels & Resorts (India) Limited
50,INE837H01020,Advanced Enzyme Technologies Limited
51,INE208C01025,Aegis Logistics Limited
52,INE024001021,Aeroflex Industries Limited
53,INE0BWX01014,Aether Industries Limited
54,INE00WC01027,Affle (India) Limited
55,INE916Y01019,Akme Fintrade (India) Limited
56,INE204E01012,Agarwal Industrial Corporation Limited
57,INE415A01038,AGI Greenpac Limited
58,INE976R01017,Agi Infra Limited
59,INE449G01018,Agri-Tech (India) Limited
60,INE740V01019,Agro Phos India Limited
61,INE583L01014,AGS Transact Technologies Limited
62,INE00ZE01026,Abans Holdings Limited
63,INE00PV01013,Ahlada Engineers Limited
64,INE926K01017,Asian Hotels (East) Limited
65,INE758C01029,Ahluwalia Contracts (India) Limited
66,INE212H01026,AIA Engineering Limited
67,INE206F01022,Authum Investment & Infrastructure Limited
68,INE645W01026,Airan Limited
69,INE801L01010,Airo Lam limited
70,INE031B01049,Ajanta Pharma Limited
71,INE298G01027,Ajmera Realty & Infra India Limited
72,INE820Y01021,Ajooni Biotech Limited
73,INE737W01013,Akash Infra-Projects Limited
74,INE00Y801016,Akg Exim Limited
75,INE642Z01026,AKI India Limited
76,INE256Z01025,Akshar Spintex Limited
77,INE542B01011,AksharChem India Limited
78,INE523B01011,Aksh Optifibre Limited
79,INE09XN01023,Akums Drugs and Pharmaceuticals Limited
80,INE133A01011,Akzo Nobel India Limited
81,INE914E01040,Alankit Limited
82,INE155C01010,Albert David Limited
83,INE426A01027,Alembic Limited
84,INE062D01024,Alicon Castalloy Limited
85,INE773I01017,Alkali Metals Limited
86,INE540L01014,Alkem Laboratories Limited
87,INE150B01039,Alkyl Amines Chemicals Limited
88,INE418H01029,Allcargo Logistics Limited
89,INE835G01018,Alldigi Tech Limited
90,INE326B01035,Almondz Global Securities Limited
91,INE270A01029,Alok Industries Limited
92,INE385I01010,Alpa Laboratories Limited
93,INE137C01018,Alphageo (India) Limited
94,INE093B01015,Alps Industries Limited
95,INE371P01015,Amber Enterprises India Limited
96,INE792B01012,Ambica Agarbathies & Aroma industries Limited
97,INE540G01014,Ambika Cotton Mills Limited
98,INE079A01024,Ambuja Cements Limited
99,INE005I01014,AMD Industries Limited
100,INE00FF01017,Ami Organics Limited
101,INE606A01024,Amj Land Holdings Limited
102,INE275D01022,Amines & Plasticizers Limited
103,INE098F01031,Amrutanjan Health Care Limited
104,INE463V01026,Anand Rathi Wealth Limited
105,INE242C01024,Anant Raj Limited
106,INE435A01051,ANDHRA PAPER LIMITED
107,INE715B01021,The Andhra Sugars Limited
108,INE732I01013,Angel One Limited
109,INE087B01017,Anik Industries Limited
110,INE106I01010,Ankit Metal & Power Limited
111,INE02AR01019,Anmol India Limited
112,INE436A01026,Ansal Properties & Infrastructure Limited
113,INE414B01021,Antarctica Limited
114,INE294Z01018,The Anup Engineering Limited
115,INE930P01018,Anupam Rasayan India Limited
116,INE372A01015,Apar Industries Limited
117,INE071F01012,Anjani Portland Cement Limited
118,INE116A01032,Apcotex Industries Limited
119,INE346W01013,Apex Frozen Foods Limited
120,INE702C01027,APL Apollo Tubes Limited
121,INE901L01018,Alembic Pharmaceuticals Limited
122,INE713T01028,Apollo Micro Systems Limited
123,INE437A01024,Apollo Hospitals Enterprise Limited
124,INE126J01016,Apollo Pipes Limited
125,INE438A01022,Apollo Tyres Limited
126,INE451F01024,Apollo Sindoori Hotels Limited
127,INE266F01018,Aptech Limited
128,INE852O01025,Aptus Value Housing Finance India Limited
129,INE877I01016,Archidply Industries Limited
130,INE731A01020,Archies Limited
131,INE885A01032,Amara Raja Energy & Mobility Limited
132,INE610C01014,Rajdarshan Industries Limited
133,INE298I01015,Aries Agro Limited
134,INE420B01036,Arihant Capital Markets Limited
135,INE643K01018,Arihant Superstructures Limited
136,INE0QRL01017,Arkade Developers Limited
137,INE109C01017,Arman Financial Services Limited
138,INE210C01013,Aro Granite Industries Limited
139,INE570D01018,Arrow Greentech Limited
140,INE968D01022,Arshiya Limited
141,INE267I01010,ARSS Infrastructure Projects Limited
142,INE025R01021,Artemis Medicare Services Limited
143,INE738V01013,Art Nirman Limited
144,INE006Z01016,Arvee Laboratories (India) Limited
145,INE034A01011,Arvind Limited
146,INE955V01021,Arvind Fashions Limited
147,INE034S01021,Arvind SmartSpaces Limited
148,INE439A01020,Asahi India Glass Limited
149,INE228I01012,Asahi Songwon Colors Limited
150,INE900C01027,Automotive Stampings and Assemblies Limited
151,INE073G01016,Associated Alcohols & Breweries Ltd.
152,INE348A01023,Ashapura Minechem Limited
153,INE365D01021,Ashiana Housing Limited
154,INE440A01010,Ashima Limited
155,INE442H01029,Ashoka Buildcon Limited
156,INE760Y01011,Ashoka Metcast Limited
157,INE208A01029,Ashok Leyland Limited
158,INE276G01015,Asian Energy Services Limited
159,INE363A01022,Asian Hotels (North) Limited
160,INE021A01026,Asian Paints Limited
161,INE022I01019,Asian Granito India Limited
162,INE491J01022,ASK Automotive Limited
163,INE855F01042,Bartronics India Limited
164,INE991I01015,Aspinwall and Company Limited
165,INE563J01010,Astec LifeSciences Limited
166,INE914M01019,Aster DM Healthcare Limited
167,INE006I01046,Astral Limited
168,INE386C01029,Astra Microwave Products Limited
169,INE203A01020,AstraZeneca Pharma India Limited
170,INE646X01014,Astron Paper & Board Mill Limited
